"country","date","daily_vaccinations","daily_vaccinations_per_million"
"Oman","2021-01-24",1046,205
"Oman","2021-01-25",1121,220
"Oman","2021-01-26",1165,228
"Oman","2021-01-27",1071,210
"Oman","2021-01-28",1042,204
"Oman","2021-01-29",1014,199
"Oman","2021-01-30",985,193
"Oman","2021-01-31",711,139
"Oman","2021-02-01",473,93
"Oman","2021-02-02",270,53
"Oman","2021-02-03",175,34
"Oman","2021-02-04",175,34
"Oman","2021-02-05",175,34
"Oman","2021-02-06",175,34
"Oman","2021-02-07",175,34
"Oman","2021-02-08",175,34
"Oman","2021-02-09",742,145
"Oman","2021-02-10",1601,314
"Oman","2021-02-11",2722,533
"Oman","2021-02-12",4095,802
"Pakistan","2021-02-03",3404,15
"Pakistan","2021-02-04",3404,15
"Pakistan","2021-02-05",3404,15
"Pakistan","2021-02-06",3404,15
"Pakistan","2021-02-07",3404,15
"Pakistan","2021-02-08",3404,15
"Pakistan","2021-02-09",3404,15
"Pakistan","2021-02-10",3404,15
"Panama","2021-01-20",641,149
"Panama","2021-01-21",1364,316
"Panama","2021-01-22",1694,393
"Panama","2021-01-23",1398,324
"Panama","2021-01-24",1284,298
"Panama","2021-01-25",1100,255
"Panama","2021-01-26",1071,248
"Panama","2021-01-27",1129,262
"Panama","2021-01-28",856,198
"Panama","2021-01-29",527,122
"Panama","2021-01-30",454,105
"Panama","2021-01-31",336,78
"Panama","2021-02-01",565,131
"Panama","2021-02-02",645,149
"Panama","2021-02-03",545,126
"Panama","2021-02-04",529,123
"Panama","2021-02-05",524,121
"Panama","2021-02-06",524,121
"Panama","2021-02-07",524,121
"Panama","2021-02-08",270,63
"Panama","2021-02-09",61,14
"Panama","2021-02-10",11,3
"Panama","2021-02-11",2,0
"Peru","2021-02-10",9779,297
"Peru","2021-02-11",16460,499
"Peru","2021-02-12",18426,559
"Peru","2021-02-13",17203,522
"Poland","2020-12-29",4300,114
"Poland","2020-12-30",17150,453
"Poland","2020-12-31",15200,402
"Poland","2021-01-01",11749,310
"Poland","2021-01-02",9678,256
"Poland","2021-01-03",8139,215
"Poland","2021-01-04",12889,341
"Poland","2021-01-05",19132,506
"Poland","2021-01-06",17723,468
"Poland","2021-01-07",20194,534
"Poland","2021-01-08",21399,565
"Poland","2021-01-09",21376,565
"Poland","2021-01-10",21746,575
"Poland","2021-01-11",23659,625
"Poland","2021-01-12",24199,639
"Poland","2021-01-13",29836,788
"Poland","2021-01-14",31646,836
"Poland","2021-01-15",34025,899
"Poland","2021-01-16",36754,971
"Poland","2021-01-17",38059,1006
"Poland","2021-01-18",33904,896
"Poland","2021-01-19",33087,874
"Poland","2021-01-20",31796,840
"Poland","2021-01-21",33503,885
"Poland","2021-01-22",35331,934
"Poland","2021-01-23",34837,920
"Poland","2021-01-24",34001,898
"Poland","2021-01-25",40260,1064
"Poland","2021-01-26",52033,1375
"Poland","2021-01-27",59495,1572
"Poland","2021-01-28",64577,1706
"Poland","2021-01-29",65258,1724
"Poland","2021-01-30",65110,1720
"Poland","2021-01-31",67061,1772
"Poland","2021-02-01",64961,1716
"Poland","2021-02-02",62425,1649
"Poland","2021-02-03",64761,1711
"Poland","2021-02-04",67081,1772
"Poland","2021-02-05",68098,1799
"Poland","2021-02-06",69175,1828
"Poland","2021-02-07",68543,1811
"Poland","2021-02-08",69071,1825
"Poland","2021-02-09",61611,1628
"Poland","2021-02-10",60307,1593
"Poland","2021-02-11",61019,1612
"Poland","2021-02-12",64749,1711
"Portugal","2020-12-29",11873,1164
"Portugal","2020-12-30",11011,1080
"Portugal","2020-12-31",7770,762
"Portugal","2021-01-01",6149,603
"Portugal","2021-01-02",5177,508
"Portugal","2021-01-03",4529,444
"Portugal","2021-01-04",4360,428
"Portugal","2021-01-05",3141,308
"Portugal","2021-01-06",2169,213
"Portugal","2021-01-07",3983,391
"Portugal","2021-01-08",5796,568
"Portugal","2021-01-09",6347,622
"Portugal","2021-01-10",6898,676
"Portugal","2021-01-11",7155,702
"Portugal","2021-01-12",7412,727
"Portugal","2021-01-13",7668,752
"Portugal","2021-01-14",6406,628
"Portugal","2021-01-15",5143,504
"Portugal","2021-01-16",6571,644
"Portugal","2021-01-17",8000,785
"Portugal","2021-01-18",9429,925
"Portugal","2021-01-19",10857,1065
"Portugal","2021-01-20",12286,1205
"Portugal","2021-01-21",13714,1345
"Portugal","2021-01-22",15143,1485
"Portugal","2021-01-23",15940,1563
"Portugal","2021-01-24",15242,1495
"Portugal","2021-01-25",14545,1426
"Portugal","2021-01-26",13847,1358
"Portugal","2021-01-27",13814,1355
"Portugal","2021-01-28",14164,1389
"Portugal","2021-01-29",14820,1453
"Portugal","2021-01-30",13930,1366
"Portugal","2021-01-31",13398,1314
"Portugal","2021-02-01",12189,1195
"Portugal","2021-02-02",11608,1138
"Portugal","2021-02-03",10362,1016
"Portugal","2021-02-04",9744,956
"Portugal","2021-02-05",8008,785
"Portugal","2021-02-06",7021,689
"Portugal","2021-02-07",8188,803
"Portugal","2021-02-08",8191,803
"Portugal","2021-02-09",7374,723
"Portugal","2021-02-10",7035,690
"Portugal","2021-02-11",10287,1009
"Portugal","2021-02-12",13789,1352
"Portugal","2021-02-13",17999,1765
"Qatar","2020-12-23",1351,469
"Qatar","2020-12-24",1351,469
"Qatar","2020-12-25",1351,469
"Qatar","2020-12-26",1351,469
"Qatar","2020-12-27",1351,469
"Qatar","2020-12-28",1351,469
"Qatar","2020-12-29",1351,469
"Qatar","2020-12-30",1351,469
"Qatar","2020-12-31",1351,469
"Qatar","2021-01-01",1351,469
"Qatar","2021-01-02",1351,469
"Qatar","2021-01-03",1351,469
"Qatar","2021-01-04",1351,469
"Qatar","2021-01-05",1351,469
"Qatar","2021-01-06",1351,469
"Qatar","2021-01-07",1351,469
"Qatar","2021-01-08",1351,469
"Qatar","2021-01-09",1351,469
"Qatar","2021-01-10",1351,469
"Qatar","2021-01-11",1351,469
"Qatar","2021-01-12",1351,469
"Qatar","2021-01-13",1351,469
"Qatar","2021-01-14",1351,469
"Qatar","2021-01-15",1351,469
"Qatar","2021-01-16",1351,469
"Qatar","2021-01-17",1351,469
"Qatar","2021-01-18",1351,469
"Qatar","2021-01-19",1351,469
"Qatar","2021-01-20",1351,469
"Qatar","2021-01-21",1351,469
"Qatar","2021-01-22",1351,469
"Qatar","2021-01-23",1351,469
"Qatar","2021-01-24",1351,469
"Qatar","2021-01-25",1351,469
"Qatar","2021-01-26",1351,469
"Qatar","2021-01-27",1351,469
"Qatar","2021-01-28",1351,469
"Romania","2020-12-29",712,37
"Romania","2020-12-30",1800,94
"Romania","2020-12-31",2741,142
"Romania","2021-01-01",2398,125
"Romania","2021-01-02",2235,116
"Romania","2021-01-03",1922,100
"Romania","2021-01-04",3349,174
"Romania","2021-01-05",5547,288
"Romania","2021-01-06",7555,393
"Romania","2021-01-07",9444,491
"Romania","2021-01-08",11579,602
"Romania","2021-01-09",12723,661
"Romania","2021-01-10",13528,703
"Romania","2021-01-11",14240,740
"Romania","2021-01-12",14120,734
"Romania","2021-01-13",13673,711
"Romania","2021-01-14",13030,677
"Romania","2021-01-15",12995,675
"Romania","2021-01-16",13398,696
"Romania","2021-01-17",13824,719
"Romania","2021-01-18",15721,817
"Romania","2021-01-19",18514,962
"Romania","2021-01-20",22017,1144
"Romania","2021-01-21",25783,1340
"Romania","2021-01-22",28895,1502
"Romania","2021-01-23",31828,1654
"Romania","2021-01-24",34461,1791
"Romania","2021-01-25",35627,1852
"Romania","2021-01-26",36905,1918
"Romania","2021-01-27",37474,1948
"Romania","2021-01-28",37329,1940
"Romania","2021-01-29",37295,1939
"Romania","2021-01-30",36216,1883
"Romania","2021-01-31",35019,1820
"Romania","2021-02-01",33793,1757
"Romania","2021-02-02",31479,1636
"Romania","2021-02-03",28785,1496
"Romania","2021-02-04",26486,1377
"Romania","2021-02-05",24936,1296
"Romania","2021-02-06",24059,1251
"Romania","2021-02-07",23558,1225
"Romania","2021-02-08",24309,1264
"Romania","2021-02-09",25918,1347
"Romania","2021-02-10",28395,1476
"Romania","2021-02-11",30661,1594
"Russia","2020-12-16",3357,23
"Russia","2020-12-17",3357,23
"Russia","2020-12-18",3357,23
"Russia","2020-12-19",3357,23
"Russia","2020-12-20",3357,23
"Russia","2020-12-21",3357,23
"Russia","2020-12-22",3357,23
"Russia","2020-12-23",12592,86
"Russia","2020-12-24",21827,150
"Russia","2020-12-25",31061,213
"Russia","2020-12-26",40296,276
"Russia","2020-12-27",49531,339
"Russia","2020-12-28",58765,403
"Russia","2020-12-29",68000,466
"Russia","2020-12-30",68000,466
"Russia","2020-12-31",68000,466
"Russia","2021-01-01",68000,466
"Russia","2021-01-02",68000,466
"Russia","2021-01-03",60883,417
"Russia","2021-01-04",53766,368
"Russia","2021-01-05",46649,320
"Russia","2021-01-06",39532,271
"Russia","2021-01-07",32416,222
"Russia","2021-01-08",25299,173
"Russia","2021-01-09",18182,125
"Russia","2021-01-10",18182,125
"Russia","2021-01-11",18182,125
"Russia","2021-01-12",18182,125
"Russia","2021-01-13",18182,125
"Russia","2021-01-14",30380,208
"Russia","2021-01-15",42579,292
"Russia","2021-01-16",54777,375
"Russia","2021-01-17",66976,459
"Russia","2021-01-18",79174,543
"Russia","2021-01-19",91373,626
"Russia","2021-01-20",103571,710
"Russia","2021-01-21",103571,710
"Russia","2021-01-22",103571,710
"Russia","2021-01-23",103571,710
"Russia","2021-01-24",103571,710
"Russia","2021-01-25",103571,710
"Russia","2021-01-26",103571,710
"Russia","2021-01-27",103571,710
"Russia","2021-01-28",103571,710
"Russia","2021-01-29",103571,710
"Russia","2021-01-30",103571,710
"Russia","2021-01-31",103571,710
"Russia","2021-02-01",103571,710
"Russia","2021-02-02",103571,710
"Russia","2021-02-03",103571,710
"Russia","2021-02-04",103571,710
"Russia","2021-02-05",103571,710
"Russia","2021-02-06",103571,710
"Russia","2021-02-07",103571,710
"Russia","2021-02-08",103571,710
"Russia","2021-02-09",103571,710
"Russia","2021-02-10",103571,710
"Saudi Arabia","2021-01-07",37862,1088
"Saudi Arabia","2021-01-08",23990,689
"Saudi Arabia","2021-01-09",19366,556
"Saudi Arabia","2021-01-10",17055,490
"Saudi Arabia","2021-01-11",15667,450
"Saudi Arabia","2021-01-12",16312,469
"Saudi Arabia","2021-01-13",16772,482
"Saudi Arabia","2021-01-14",14153,407
"Saudi Arabia","2021-01-15",15498,445
"Saudi Arabia","2021-01-16",16843,484
"Saudi Arabia","2021-01-17",18187,522
"Saudi Arabia","2021-01-18",17886,514
"Saudi Arabia","2021-01-19",16240,466
"Saudi Arabia","2021-01-20",14594,419
"Saudi Arabia","2021-01-21",12948,372
"Saudi Arabia","2021-01-22",11302,325
"Saudi Arabia","2021-01-23",9656,277
"Saudi Arabia","2021-01-24",8009,230
"Saudi Arabia","2021-01-25",8009,230
"Saudi Arabia","2021-01-26",8009,230
"Saudi Arabia","2021-01-27",8009,230
"Saudi Arabia","2021-01-28",8009,230
"Saudi Arabia","2021-01-29",8009,230
"Saudi Arabia","2021-01-30",9197,264
"Saudi Arabia","2021-01-31",10385,298
"Saudi Arabia","2021-02-01",11573,332
"Saudi Arabia","2021-02-02",10489,301
"Saudi Arabia","2021-02-03",9406,270
"Saudi Arabia","2021-02-04",8322,239
"Saudi Arabia","2021-02-05",7238,208
"Saudi Arabia","2021-02-06",4966,143
"Saudi Arabia","2021-02-07",2694,77
"Saudi Arabia","2021-02-08",409,12
"Saudi Arabia","2021-02-09",396,11
"Saudi Arabia","2021-02-10",382,11
"Saudi Arabia","2021-02-11",368,11
"Scotland","2020-12-14",5873,1075
"Scotland","2020-12-15",5873,1075
"Scotland","2020-12-16",5873,1075
"Scotland","2020-12-17",5873,1075
"Scotland","2020-12-18",5873,1075
"Scotland","2020-12-19",5873,1075
"Scotland","2020-12-20",5873,1075
"Scotland","2020-12-21",5736,1050
"Scotland","2020-12-22",5599,1025
"Scotland","2020-12-23",5462,1000
"Scotland","2020-12-24",5325,975
"Scotland","2020-12-25",5189,950
"Scotland","2020-12-26",5052,925
"Scotland","2020-12-27",4915,900
"Scotland","2020-12-28",4649,851
"Scotland","2020-12-29",4383,802
"Scotland","2020-12-30",4116,753
"Scotland","2020-12-31",3850,705
"Scotland","2021-01-01",3584,656
"Scotland","2021-01-02",3318,607
"Scotland","2021-01-03",3052,559
"Scotland","2021-01-04",3642,667
"Scotland","2021-01-05",4231,774
"Scotland","2021-01-06",4821,882
"Scotland","2021-01-07",5411,990
"Scotland","2021-01-08",6001,1098
"Scotland","2021-01-09",6590,1206
"Scotland","2021-01-10",7180,1314
"Scotland","2021-01-11",7964,1458
"Scotland","2021-01-12",9246,1692
"Scotland","2021-01-13",10569,1935
"Scotland","2021-01-14",11939,2185
"Scotland","2021-01-15",12843,2351
"Scotland","2021-01-16",13747,2516
"Scotland","2021-01-17",14651,2682
"Scotland","2021-01-18",15667,2868
"Scotland","2021-01-19",17018,3115
"Scotland","2021-01-20",18277,3345
"Scotland","2021-01-21",19282,3529
"Scotland","2021-01-22",20597,3770
"Scotland","2021-01-23",22034,4033
"Scotland","2021-01-24",21750,3981
"Scotland","2021-01-25",22213,4066
"Scotland","2021-01-26",22087,4043
"Scotland","2021-01-27",22729,4160
"Scotland","2021-01-28",22830,4179
"Scotland","2021-01-29",23593,4318
"Scotland","2021-01-30",23520,4305
"Scotland","2021-01-31",23258,4257
"Scotland","2021-02-01",25023,4580
"Scotland","2021-02-02",27047,4951
"Scotland","2021-02-03",29277,5359
"Scotland","2021-02-04",32727,5990
"Scotland","2021-02-05",35107,6426
"Scotland","2021-02-06",39398,7211
"Scotland","2021-02-07",41967,7682
"Scotland","2021-02-08",45894,8400
"Scotland","2021-02-09",48631,8901
"Scotland","2021-02-10",51223,9376
"Scotland","2021-02-11",53593,9810
"Scotland","2021-02-12",55814,10216
"Serbia","2021-01-09",1150,169
"Serbia","2021-01-10",1150,169
"Serbia","2021-01-11",1503,221
"Serbia","2021-01-12",1680,247
"Serbia","2021-01-13",1785,262
"Serbia","2021-01-14",1856,273
"Serbia","2021-01-15",2221,326
"Serbia","2021-01-16",2687,395
"Serbia","2021-01-17",3153,463
"Serbia","2021-01-18",3468,510
"Serbia","2021-01-19",3783,556
"Serbia","2021-01-20",4098,602
"Serbia","2021-01-21",9528,1400
"Serbia","2021-01-22",13880,2040
"Serbia","2021-01-23",19485,2864
"Serbia","2021-01-24",26632,3914
"Serbia","2021-01-25",31534,4634
"Serbia","2021-01-26",39901,5864
"Serbia","2021-01-27",45317,6660
"Serbia","2021-01-28",45246,6649
"Serbia","2021-01-29",44435,6530
"Serbia","2021-01-30",39146,5753
"Serbia","2021-01-31",34158,5020
"Serbia","2021-02-01",31416,4617
"Serbia","2021-02-02",25209,3705
"Serbia","2021-02-03",21689,3187
"Serbia","2021-02-04",17911,2632
"Serbia","2021-02-05",15373,2259
"Serbia","2021-02-06",14844,2181
"Serbia","2021-02-07",12472,1833
"Serbia","2021-02-08",14258,2095
"Serbia","2021-02-09",16044,2358
"Serbia","2021-02-10",18092,2659
"Serbia","2021-02-11",27493,4040
"Serbia","2021-02-12",42393,6230
"Serbia","2021-02-13",58511,8599
"Seychelles","2021-01-10",500,5084
"Seychelles","2021-01-11",500,5084
"Seychelles","2021-01-12",500,5084
"Seychelles","2021-01-13",500,5084
"Seychelles","2021-01-14",600,6101
"Seychelles","2021-01-15",667,6783
"Seychelles","2021-01-16",1000,10169
"Seychelles","2021-01-17",1118,11369
"Seychelles","2021-01-18",1236,12569
"Seychelles","2021-01-19",1354,13769
"Seychelles","2021-01-20",1595,16219
"Seychelles","2021-01-21",1718,17470
"Seychelles","2021-01-22",1841,18721
"Seychelles","2021-01-23",1622,16494
"Seychelles","2021-01-24",1542,15680
"Seychelles","2021-01-25",1463,14877
"Seychelles","2021-01-26",1677,17053
"Seychelles","2021-01-27",1775,18050
"Seychelles","2021-01-28",1965,19982
"Seychelles","2021-01-29",1996,20297
"Seychelles","2021-01-30",1988,20216
"Seychelles","2021-01-31",2079,21141
"Seychelles","2021-02-01",2170,22066
"Seychelles","2021-02-02",1939,19717
"Seychelles","2021-02-03",1644,16718
"Seychelles","2021-02-04",1287,13087
"Seychelles","2021-02-05",1089,11074
"Seychelles","2021-02-06",987,10037
"Seychelles","2021-02-07",966,9823
"Seychelles","2021-02-08",945,9610
"Seychelles","2021-02-09",1163,11826
"Seychelles","2021-02-10",1567,15935
"Seychelles","2021-02-11",2005,20388
"Singapore","2021-01-12",2800,479
"Singapore","2021-01-13",4090,699
"Singapore","2021-01-14",4520,773
"Singapore","2021-01-15",4735,809
"Singapore","2021-01-16",4864,831
"Singapore","2021-01-17",4950,846
"Singapore","2021-01-18",5011,857
"Singapore","2021-01-19",5380,920
"Singapore","2021-01-20",5380,920
"Singapore","2021-01-21",5380,920
"Singapore","2021-01-22",5380,920
"Singapore","2021-01-23",6127,1047
"Singapore","2021-01-24",6874,1175
"Singapore","2021-01-25",7621,1303
"Singapore","2021-01-26",8369,1431
"Singapore","2021-01-27",9116,1558
"Singapore","2021-01-28",9847,1683
"Singapore","2021-01-29",10579,1808
"Singapore","2021-01-30",10563,1806
"Singapore","2021-01-31",10547,1803
"Singapore","2021-02-01",10885,1861
"Singapore","2021-02-02",11223,1918
"Singapore","2021-02-03",11046,1888
"Singapore","2021-02-04",10886,1861
"Singapore","2021-02-05",10725,1833
"Singapore","2021-02-06",10564,1806
"Singapore","2021-02-07",10404,1778
"Singapore","2021-02-08",9889,1690
"Singapore","2021-02-09",9375,1602
"Singapore","2021-02-10",9375,1602
"Slovakia","2021-01-05",425,78
"Slovakia","2021-01-06",3309,606
"Slovakia","2021-01-07",4554,834
"Slovakia","2021-01-08",5176,948
"Slovakia","2021-01-09",4462,817
"Slovakia","2021-01-10",4226,774
"Slovakia","2021-01-11",4202,770
"Slovakia","2021-01-12",5650,1035
"Slovakia","2021-01-13",5730,1050
"Slovakia","2021-01-14",5789,1060
"Slovakia","2021-01-15",5905,1082
"Slovakia","2021-01-16",5870,1075
"Slovakia","2021-01-17",5442,997
"Slovakia","2021-01-18",6121,1121
"Slovakia","2021-01-19",5742,1052
"Slovakia","2021-01-20",5904,1081
"Slovakia","2021-01-21",5884,1078
"Slovakia","2021-01-22",5729,1049
"Slovakia","2021-01-23",5574,1021
"Slovakia","2021-01-24",5567,1020
"Slovakia","2021-01-25",5589,1024
"Slovakia","2021-01-26",5491,1006
"Slovakia","2021-01-27",5374,984
"Slovakia","2021-01-28",5715,1047
"Slovakia","2021-01-29",6434,1178
"Slovakia","2021-01-30",6593,1208
"Slovakia","2021-01-31",6633,1215
"Slovakia","2021-02-01",7033,1288
"Slovakia","2021-02-02",7752,1420
"Slovakia","2021-02-03",8415,1541
"Slovakia","2021-02-04",9088,1665
"Slovakia","2021-02-05",9552,1750
"Slovakia","2021-02-06",9750,1786
"Slovakia","2021-02-07",9736,1783
"Slovakia","2021-02-08",9660,1769
"Slovakia","2021-02-09",10035,1838
"Slovakia","2021-02-10",10210,1870
"Slovakia","2021-02-11",9978,1828
"Slovakia","2021-02-12",9778,1791
"Slovenia","2020-12-28",1548,745
"Slovenia","2020-12-29",1326,638
"Slovenia","2020-12-30",1031,496
"Slovenia","2020-12-31",1200,577
"Slovenia","2021-01-01",989,476
"Slovenia","2021-01-02",892,429
"Slovenia","2021-01-03",844,406
"Slovenia","2021-01-04",778,374
"Slovenia","2021-01-05",966,465
"Slovenia","2021-01-06",1632,785
"Slovenia","2021-01-07",2139,1029
"Slovenia","2021-01-08",2573,1238
"Slovenia","2021-01-09",2551,1227
"Slovenia","2021-01-10",2472,1189
"Slovenia","2021-01-11",2385,1147
"Slovenia","2021-01-12",2296,1104
"Slovenia","2021-01-13",2234,1075
"Slovenia","2021-01-14",2434,1171
"Slovenia","2021-01-15",2658,1279
"Slovenia","2021-01-16",2669,1284
"Slovenia","2021-01-17",2669,1284
"Slovenia","2021-01-18",2632,1266
"Slovenia","2021-01-19",2686,1292
"Slovenia","2021-01-20",2668,1283
"Slovenia","2021-01-21",2342,1127
"Slovenia","2021-01-22",1972,949
"Slovenia","2021-01-23",2028,976
"Slovenia","2021-01-24",2049,986
"Slovenia","2021-01-25",2017,970
"Slovenia","2021-01-26",1962,944
"Slovenia","2021-01-27",1999,962
"Slovenia","2021-01-28",2220,1068
"Slovenia","2021-01-29",2550,1227
"Slovenia","2021-01-30",2463,1185
"Slovenia","2021-01-31",2442,1175
"Slovenia","2021-02-01",2448,1178
"Slovenia","2021-02-02",2353,1132
"Slovenia","2021-02-03",2342,1127
"Slovenia","2021-02-04",2545,1224
"Slovenia","2021-02-05",2703,1300
"Slovenia","2021-02-06",2774,1334
"Slovenia","2021-02-07",2773,1334
"Slovenia","2021-02-08",2823,1358
"Slovenia","2021-02-09",2682,1290
"Slovenia","2021-02-10",2457,1182
"Slovenia","2021-02-11",2486,1196
"Slovenia","2021-02-12",2756,1326
"Spain","2021-01-05",56505,1209
"Spain","2021-01-06",45248,968
"Spain","2021-01-07",41496,888
"Spain","2021-01-08",48786,1043
"Spain","2021-01-09",47569,1017
"Spain","2021-01-10",46759,1000
"Spain","2021-01-11",46180,988
"Spain","2021-01-12",49826,1066
"Spain","2021-01-13",58330,1248
"Spain","2021-01-14",66980,1433
"Spain","2021-01-15",70139,1500
"Spain","2021-01-16",70181,1501
"Spain","2021-01-17",70223,1502
"Spain","2021-01-18",70264,1503
"Spain","2021-01-19",68282,1460
"Spain","2021-01-20",63471,1358
"Spain","2021-01-21",61016,1305
"Spain","2021-01-22",56696,1213
"Spain","2021-01-23",55680,1191
"Spain","2021-01-24",54664,1169
"Spain","2021-01-25",56182,1202
"Spain","2021-01-26",55766,1193
"Spain","2021-01-27",52812,1130
"Spain","2021-01-28",52984,1133
"Spain","2021-01-29",50484,1080
"Spain","2021-01-30",51790,1108
"Spain","2021-01-31",53095,1136
"Spain","2021-02-01",54548,1167
"Spain","2021-02-02",58331,1248
"Spain","2021-02-03",67103,1435
"Spain","2021-02-04",73424,1570
"Spain","2021-02-05",72558,1552
"Spain","2021-02-06",71691,1533
"Spain","2021-02-07",70825,1515
"Spain","2021-02-08",70598,1510
"Spain","2021-02-09",66924,1431
"Spain","2021-02-10",65024,1391
"Spain","2021-02-11",62126,1329
"Sri Lanka","2021-01-29",5286,247
"Sri Lanka","2021-01-30",18912,883
"Sri Lanka","2021-01-31",19718,921
"Sri Lanka","2021-02-01",23888,1116
"Sri Lanka","2021-02-02",23753,1109
"Sri Lanka","2021-02-03",23319,1089
"Sri Lanka","2021-02-04",20904,976
"Sri Lanka","2021-02-05",21575,1008
"Sri Lanka","2021-02-06",17475,816
"Sri Lanka","2021-02-07",14660,685
"Sri Lanka","2021-02-08",10316,482
"Sri Lanka","2021-02-09",7918,370
"Sri Lanka","2021-02-10",5259,246
"Sweden","2020-12-28",1756,174
"Sweden","2020-12-29",1756,174
"Sweden","2020-12-30",1756,174
"Sweden","2020-12-31",1756,174
"Sweden","2021-01-01",1756,174
"Sweden","2021-01-02",1756,174
"Sweden","2021-01-03",1756,174
"Sweden","2021-01-04",2181,216
"Sweden","2021-01-05",2605,258
"Sweden","2021-01-06",3030,300
"Sweden","2021-01-07",3455,342
"Sweden","2021-01-08",3879,384
"Sweden","2021-01-09",4304,426
"Sweden","2021-01-10",4729,468
"Sweden","2021-01-11",5509,545
"Sweden","2021-01-12",6289,623
"Sweden","2021-01-13",7070,700
"Sweden","2021-01-14",7850,777
"Sweden","2021-01-15",8630,855
"Sweden","2021-01-16",9410,932
"Sweden","2021-01-17",10191,1009
"Sweden","2021-01-18",10953,1085
"Sweden","2021-01-19",11714,1160
"Sweden","2021-01-20",12476,1235
"Sweden","2021-01-21",13238,1311
"Sweden","2021-01-22",14000,1386
"Sweden","2021-01-23",14761,1462
"Sweden","2021-01-24",15523,1537
"Sweden","2021-01-25",15003,1486
"Sweden","2021-01-26",14483,1434
"Sweden","2021-01-27",13962,1382
"Sweden","2021-01-28",13442,1331
"Sweden","2021-01-29",12921,1279
"Sweden","2021-01-30",12401,1228
"Sweden","2021-01-31",11881,1176
"Sweden","2021-02-01",11139,1103
"Sweden","2021-02-02",10397,1029
"Sweden","2021-02-03",9655,956
"Sweden","2021-02-04",8913,883
"Sweden","2021-02-05",8171,809
"Sweden","2021-02-06",7932,785
"Sweden","2021-02-07",7694,762
"Sweden","2021-02-08",8198,812
"Sweden","2021-02-09",8702,862
"Sweden","2021-02-10",10296,1019
"Sweden","2021-02-11",13673,1354
"Sweden","2021-02-12",16284,1612
"Switzerland","2020-12-24",3000,347
"Switzerland","2020-12-25",3000,347
"Switzerland","2020-12-26",3000,347
"Switzerland","2020-12-27",3000,347
"Switzerland","2020-12-28",3000,347
"Switzerland","2020-12-29",3000,347
"Switzerland","2020-12-30",3000,347
"Switzerland","2020-12-31",3000,347
"Switzerland","2021-01-01",3000,347
"Switzerland","2021-01-02",3000,347
"Switzerland","2021-01-03",3000,347
"Switzerland","2021-01-04",3000,347
"Switzerland","2021-01-05",3000,347
"Switzerland","2021-01-06",3000,347
"Switzerland","2021-01-07",3000,347
"Switzerland","2021-01-08",3000,347
"Switzerland","2021-01-09",3000,347
"Switzerland","2021-01-10",3000,347
"Switzerland","2021-01-11",3000,347
"Switzerland","2021-01-12",3000,347
"Switzerland","2021-01-13",3000,347
"Switzerland","2021-01-14",3000,347
"Switzerland","2021-01-15",3829,442
"Switzerland","2021-01-16",4657,538
"Switzerland","2021-01-17",5486,634
"Switzerland","2021-01-18",6314,730
"Switzerland","2021-01-19",7143,825
"Switzerland","2021-01-20",10984,1269
"Switzerland","2021-01-21",14826,1713
"Switzerland","2021-01-22",14883,1720
"Switzerland","2021-01-23",14939,1726
"Switzerland","2021-01-24",14995,1733
"Switzerland","2021-01-25",15587,1801
"Switzerland","2021-01-26",16179,1869
"Switzerland","2021-01-27",13758,1590
"Switzerland","2021-01-28",11336,1310
"Switzerland","2021-01-29",11872,1372
"Switzerland","2021-01-30",14341,1657
"Switzerland","2021-01-31",16809,1942
"Switzerland","2021-02-01",17495,2021
"Switzerland","2021-02-02",18180,2101
"Switzerland","2021-02-03",18865,2180
"Switzerland","2021-02-04",18610,2150
"Switzerland","2021-02-05",18354,2121
"Switzerland","2021-02-06",16165,1868
"Switzerland","2021-02-07",13976,1615
"Switzerland","2021-02-08",14706,1699
"Switzerland","2021-02-09",15435,1783
"Switzerland","2021-02-10",16165,1868
"Turkey","2021-01-14",279452,3313
"Turkey","2021-01-15",308326,3656
"Turkey","2021-01-16",225634,2675
"Turkey","2021-01-17",176613,2094
"Turkey","2021-01-18",166482,1974
"Turkey","2021-01-19",158439,1879
"Turkey","2021-01-20",150356,1783
"Turkey","2021-01-21",120115,1424
"Turkey","2021-01-22",83651,992
"Turkey","2021-01-23",78569,932
"Turkey","2021-01-24",76886,912
"Turkey","2021-01-25",67192,797
"Turkey","2021-01-26",65663,779
"Turkey","2021-01-27",67155,796
"Turkey","2021-01-28",82474,978
"Turkey","2021-01-29",103734,1230
"Turkey","2021-01-30",104854,1243
"Turkey","2021-01-31",105941,1256
"Turkey","2021-02-01",119078,1412
"Turkey","2021-02-02",116994,1387
"Turkey","2021-02-03",117243,1390
"Turkey","2021-02-04",114747,1361
"Turkey","2021-02-05",90207,1070
"Turkey","2021-02-06",91551,1086
"Turkey","2021-02-07",89180,1057
"Turkey","2021-02-08",75415,894
"Turkey","2021-02-09",71925,853
"Turkey","2021-02-10",64548,765
"Turkey","2021-02-11",49331,585
"Turkey","2021-02-12",120650,1431
"Turkey","2021-02-13",158311,1877
"Turks and Caicos Islands","2021-01-11",222,5734
"Turks and Caicos Islands","2021-01-12",222,5734
"Turks and Caicos Islands","2021-01-13",222,5734
